Category,County,Countycode,Group,Plannedsales,Price,Saledate,Shipdate,Sku,Ts,Usercity,Usergender,Userincome,Usersentiment,Userstate,Zipcode
Fragrances,Maricopa,4013,Women,47.15280151,70,2021-01-05T13:38:46,2021-01-06T13:38:46,ZD111588,2021-01-04T13:38:46,Phoenix,Male,"$25,000 to $50,000",0,Arizona,85331
Wireless,Cascade,30013,Electronics,519.4800415,665,2021-01-05T13:38:47,2021-01-06T13:38:47,ZD111415,2021-01-04T13:38:47,Great Falls,Male,"$50,000 to $75,000",1,Montana,59480
Arts,San Francisco,6075,Books,7.192800045,10,2021-01-05T13:38:49,2021-01-06T13:38:49,ZD111120,2021-01-04T13:38:49,San Francisco,Male,"$25,000 to $50,000",-1,California,94104
Cooking,Ventura,6111,Books,15.98400021,33,2021-01-05T13:39:01,2021-01-06T13:39:01,ZD111148,2021-01-04T13:39:01,Newbury Park,Male,"$0 to $25,000",0,California,93034
Entertainments,Santa Cruz,6087,Books,4.795200348,7,2021-01-05T13:39:03,2021-01-06T13:39:03,ZD111165,2021-01-04T13:39:03,Aptos,Female,"$100,000 or more",-1,California,95062
Swimwear,Clackamas,41005,Women,65.53440094,121,2021-01-05T13:39:08,2021-01-06T13:39:08,ZD111607,2021-01-04T13:39:08,Beavercreek,Male,"$25,000 to $50,000",0,Oregon,97004
Monitors,Utah,49049,Electronics,134.2656097,246,2021-01-05T13:39:28,2021-01-06T13:39:28,ZD111360,2021-01-04T13:39:28,American Fork,Female,"$50,000 to $75,000",-1,Utah,84633
Disk Drives,Maricopa,4013,Electronics,95.90399933,154,2021-01-05T13:39:29,2021-01-06T13:39:29,ZD111324,2021-01-04T13:39:29,Phoenix,Male,"$25,000 to $50,000",0,Arizona,85258
Swimwear,Santa Barbara,6083,Women,59.94000244,84,2021-01-05T13:39:32,2021-01-06T13:39:32,ZD111610,2021-01-04T13:39:32,Carpinteria,Female,"$0 to $25,000",1,California,93458
Womens Watch,Solano,6095,Jewelry,2213.78418,3167,2021-01-05T13:39:33,2021-01-06T13:39:33,ZD111521,2021-01-04T13:39:33,Benicia,Female,"$75,000 to $100,000",1,California,95620
Fiction,Boulder,8013,Books,8.791200638,19,2021-01-05T13:39:34,2021-01-06T13:39:34,ZD111174,2021-01-04T13:39:34,Broomfield,Male,"$25,000 to $50,000",1,Colorado,80323
Fragrances,Multnomah,41051,Women,53.54640198,85,2021-01-05T13:39:35,2021-01-06T13:39:35,ZD111590,2021-01-04T13:39:35,Bridal Veil,Male,"$0 to $25,000",1,Oregon,97215
Travel,Matanuska-Susitna Borough,2170,Books,11.18880081,16,2021-01-05T13:39:46,2021-01-06T13:39:46,ZD111279,2021-01-04T13:39:46,Wasilla,Male,"$0 to $25,000",0,Alaska,99652
Pants,Pueblo,8101,Men,69.53040314,124,2021-01-05T13:39:52,2021-01-06T13:39:52,ZD111547,2021-01-04T13:39:52,Pueblo,Male,"$75,000 to $100,000",1,Colorado,81001
Earrings,Los Angeles,6037,Jewelry,954.244873,1271,2021-01-05T13:39:55,2021-01-06T13:39:55,ZD111441,2021-01-04T13:39:55,Los Angeles,Male,"$100,000 or more",-1,California,91767
Disk Drives,San Diego County,6073,Electronics,138.2616119,184,2021-01-05T13:40:00,2021-01-06T13:40:00,ZD111322,2021-01-04T13:40:00,Los Angeles,Female,"$25,000 to $50,000",0,California,92162
Science,Mendocino,6045,Books,15.1848011,23,2021-01-05T13:40:02,2021-01-06T13:40:02,ZD111253,2021-01-04T13:40:02,Albion,Male,"$0 to $25,000",0,California,95482
Diamonds,Los Angeles,6037,Jewelry,844.7544556,1249,2021-01-05T13:40:12,2021-01-06T13:40:12,ZD111438,2021-01-04T13:40:12,Los Angeles,Female,"$25,000 to $50,000",0,California,91201
Bracelets,Salt Lake,49035,Jewelry,1230.768066,1596,2021-01-05T13:40:14,2021-01-06T13:40:14,ZD111423,2021-01-04T13:40:14,Bingham Canyon,Male,"$0 to $25,000",0,Utah,84139
Sports,Riverside,6065,Books,13.58640099,27,2021-01-05T13:40:23,2021-01-06T13:40:23,ZD111275,2021-01-04T13:40:23,Corona,Female,"$100,000 or more",1,California,92223
Jewelry Boxes,Maricopa,4013,Jewelry,148.6512146,223,2021-01-05T13:40:24,2021-01-06T13:40:24,ZD111466,2021-01-04T13:40:24,Phoenix,Female,"$0 to $25,000",1,Arizona,85342
Memory,San Bernardino,6071,Electronics,150.2496033,253,2021-01-05T13:40:26,2021-01-06T13:40:26,ZD111343,2021-01-04T13:40:26,Alta Loma,Male,"$75,000 to $100,000",1,California,91730
Sports,Los Angeles,6037,Books,10.38960075,14,2021-01-05T13:40:33,2021-01-06T13:40:33,ZD111266,2021-01-04T13:40:33,Los Angeles,Female,"$50,000 to $75,000",1,California,90017
Earrings,Davis,49011,Jewelry,239.7600098,365,2021-01-05T13:40:36,2021-01-06T13:40:36,ZD111442,2021-01-04T13:40:36,Bountiful,Female,"$0 to $25,000",0,Utah,84025
Rings,Cochise,4003,Jewelry,1083.71521,1783,2021-01-05T13:40:38,2021-01-06T13:40:38,ZD111511,2021-01-04T13:40:38,Benson,Female,"$25,000 to $50,000",0,Arizona,85671
Dvd/Vcr Players,Los Angeles,6037,Electronics,152.6472168,207,2021-01-05T13:40:39,2021-01-06T13:40:39,ZD111336,2021-01-04T13:40:39,Los Angeles,Female,"$0 to $25,000",1,California,90291
Jewelry Boxes,San Bernardino,6071,Jewelry,75.12480164,128,2021-01-05T13:40:53,2021-01-06T13:40:53,ZD111472,2021-01-04T13:40:53,Alta Loma,Female,"$25,000 to $50,000",1,California,92340
Maternity,Marion,41047,Women,73.52640533,120,2021-01-05T13:40:55,2021-01-06T13:40:55,ZD111597,2021-01-04T13:40:55,Aurora,Male,"$100,000 or more",-1,Oregon,97392
Camcorders,Los Angeles,6037,Electronics,489.1104126,714,2021-01-05T13:41:01,2021-01-06T13:41:01,ZD111303,2021-01-04T13:41:01,Los Angeles,Male,"$50,000 to $75,000",1,California,90640
Fiction,Honolulu,15003,Books,8.791200638,12,2021-01-05T13:41:04,2021-01-06T13:41:04,ZD111169,2021-01-04T13:41:04,Aiea,Female,"$25,000 to $50,000",1,Hawaii,96840
Computers,Yamhill,41071,Books,5.594400406,9,2021-01-05T13:41:05,2021-01-06T13:41:05,ZD111134,2021-01-04T13:41:05,Amity,Female,"$0 to $25,000",1,Oregon,97115
Travel,Sacramento,6067,Books,6.393600464,11,2021-01-05T13:41:16,2021-01-06T13:41:16,ZD111286,2021-01-04T13:41:16,Sacramento,Female,"$25,000 to $50,000",1,California,94249
Sports,Orange,6059,Books,9.590400696,12,2021-01-05T13:41:18,2021-01-06T13:41:18,ZD111271,2021-01-04T13:41:18,Buena Park,Male,"$75,000 to $100,000",1,California,92838
Maternity,Fresno County,6019,Women,59.14080429,95,2021-01-05T13:41:19,2021-01-06T13:41:19,ZD111601,2021-01-04T13:41:19,Brea,Female,"$25,000 to $50,000",1,California,93716
Camcorders,Summit,49043,Electronics,527.4720459,816,2021-01-05T13:41:25,2021-01-06T13:41:25,ZD111307,2021-01-04T13:41:25,Coalville,Male,"$0 to $25,000",1,Utah,84061
Computers,Kern,6029,Books,15.1848011,27,2021-01-05T13:41:29,2021-01-06T13:41:29,ZD111138,2021-01-04T13:41:29,Arvin,Male,"$25,000 to $50,000",-1,California,93314
Self-Help,San Diego County,6073,Books,8.791200638,12,2021-01-05T13:41:32,2021-01-06T13:41:32,ZD111260,2021-01-04T13:41:32,Los Angeles,Male,"$25,000 to $50,000",1,California,92177
Entertainments,Solano,6095,Books,4.795200348,7,2021-01-05T13:41:38,2021-01-06T13:41:38,ZD111162,2021-01-04T13:41:38,Benicia,Female,"$25,000 to $50,000",0,California,94534
History,Sacramento,6067,Books,8.791200638,14,2021-01-05T13:41:43,2021-01-06T13:41:43,ZD111183,2021-01-04T13:41:43,Sacramento,Female,"$100,000 or more",0,California,95823
Portable,Clark,32003,Electronics,83.916008,132,2021-01-05T13:41:44,2021-01-06T13:41:44,ZD111374,2021-01-04T13:41:44,The Lakes,Female,"$0 to $25,000",-1,Nevada,89067
Womens Watch,Marion,41047,Jewelry,1731.866577,2918,2021-01-05T13:41:51,2021-01-06T13:41:51,ZD111522,2021-01-04T13:41:51,Aurora,Male,"$0 to $25,000",-1,Oregon,97312
Portable,Clark,32003,Electronics,91.1088028,140,2021-01-05T13:41:53,2021-01-06T13:41:53,ZD111368,2021-01-04T13:41:53,The Lakes,Male,"$0 to $25,000",-1,Nevada,89107
Business,Huerfano,8055,Books,7.992000103,16,2021-01-05T13:42:00,2021-01-06T13:42:00,ZD111129,2021-01-04T13:42:00,Gardner,Female,"$75,000 to $100,000",1,Colorado,81333
Accessories,Los Angeles,6037,Men,54.34560394,78,2021-01-05T13:42:03,2021-01-06T13:42:03,ZD111529,2021-01-04T13:42:03,Los Angeles,Male,"$100,000 or more",0,California,90005
Maternity,Maricopa,4013,Women,53.54640198,85,2021-01-05T13:42:14,2021-01-06T13:42:14,ZD111595,2021-01-04T13:42:14,Phoenix,Male,"$0 to $25,000",-1,Arizona,85345
Computers,Santa Clara,6085,Books,7.192800045,9,2021-01-05T13:42:24,2021-01-06T13:42:24,ZD111133,2021-01-04T13:42:24,Los Altos,Female,"$25,000 to $50,000",-1,California,95052
Swimwear,Honolulu,15003,Women,75.9240036,100,2021-01-05T13:42:36,2021-01-06T13:42:36,ZD111613,2021-01-04T13:42:36,Aiea,Male,"$25,000 to $50,000",-1,Hawaii,96857
Rings,Napa,6055,Jewelry,340.459198,548,2021-01-05T13:42:39,2021-01-06T13:42:39,ZD111509,2021-01-04T13:42:39,American Canyon,Male,"$50,000 to $75,000",0,California,94503
Shirts,Sonoma,6097,Men,60.73920441,111,2021-01-05T13:42:49,2021-01-06T13:42:49,ZD111552,2021-01-04T13:42:49,Bodega,Female,"$25,000 to $50,000",1,California,95408
Mens Watch,Pima,4019,Jewelry,111.0888062,260,2021-01-05T13:42:58,2021-01-06T13:42:58,ZD111490,2021-01-04T13:42:58,Ajo,Female,"$25,000 to $50,000",1,Arizona,85639
Loose Stones,Denver,8031,Jewelry,1350.648071,2229,2021-01-05T13:43:01,2021-01-06T13:43:01,ZD111476,2021-01-04T13:43:01,Denver,Female,"$0 to $25,000",-1,Colorado,80216
Dresses,Orange,6059,Women,67.13280487,108,2021-01-05T13:43:02,2021-01-06T13:43:02,ZD111581,2021-01-04T13:43:02,Buena Park,Male,"$50,000 to $75,000",1,California,92627
Scanners,Merced,6047,Electronics,87.91200256,141,2021-01-05T13:43:07,2021-01-06T13:43:07,ZD111377,2021-01-04T13:43:07,Dos Palos,Male,"$75,000 to $100,000",0,California,95341
Loose Stones,Yuma,4027,Jewelry,1376.222534,2080,2021-01-05T13:43:08,2021-01-06T13:43:08,ZD111481,2021-01-04T13:43:08,Dateland,Male,"$100,000 or more",0,Arizona,85333
Monitors,Kern,6029,Electronics,95.90399933,157,2021-01-05T13:43:10,2021-01-06T13:43:10,ZD111358,2021-01-04T13:43:10,Arvin,Female,"$50,000 to $75,000",0,California,93311
Parenting,Los Angeles,6037,Books,12.78720093,17,2021-01-05T13:43:15,2021-01-06T13:43:15,ZD111210,2021-01-04T13:43:15,Los Angeles,Male,"$0 to $25,000",0,California,90097
Gold,Pinal,4021,Jewelry,1287.51123,1698,2021-01-05T13:43:20,2021-01-06T13:43:20,ZD111457,2021-01-04T13:43:20,Gold Canyon,Male,"$0 to $25,000",0,Arizona,85131
Womens Watch,Orange,6059,Jewelry,931.0679932,1338,2021-01-05T13:43:22,2021-01-06T13:43:22,ZD111528,2021-01-04T13:43:22,Buena Park,Male,"$25,000 to $50,000",1,California,92809
Audio,Sacramento,6067,Electronics,413.9856262,639,2021-01-05T13:43:24,2021-01-06T13:43:24,ZD111288,2021-01-04T13:43:24,Sacramento,Female,"$25,000 to $50,000",1,California,95693
Stereo,Wasatch,49051,Electronics,147.0528107,217,2021-01-05T13:43:33,2021-01-06T13:43:33,ZD111396,2021-01-04T13:43:33,Heber City,Female,"$0 to $25,000",-1,Utah,84049
Pendants,Clark,32003,Jewelry,399.6000061,586,2021-01-05T13:43:34,2021-01-06T13:43:34,ZD111503,2021-01-04T13:43:34,The Lakes,Female,"$0 to $25,000",1,Nevada,89121
Disk Drives,Los Angeles,6037,Electronics,135.0648041,182,2021-01-05T13:43:35,2021-01-06T13:43:35,ZD111327,2021-01-04T13:43:35,Los Angeles,Female,"$0 to $25,000",1,California,91224
Home Repair,Baker,41001,Books,10.38960075,16,2021-01-05T13:43:38,2021-01-06T13:43:38,ZD111193,2021-01-04T13:43:38,Baker City,Male,"$50,000 to $75,000",-1,Oregon,97819
Pendants,El Paso,8041,Jewelry,1100.498413,2197,2021-01-05T13:43:58,2021-01-06T13:43:58,ZD111506,2021-01-04T13:43:58,Monument,Male,"$75,000 to $100,000",-1,Colorado,80905
Wireless,Maricopa,4013,Electronics,537.062439,785,2021-01-05T13:43:59,2021-01-06T13:43:59,ZD111417,2021-01-04T13:43:59,Phoenix,Male,"$50,000 to $75,000",-1,Arizona,85261
Dvd/Vcr Players,San Bernardino,6071,Electronics,82.31760406,145,2021-01-05T13:44:02,2021-01-06T13:44:02,ZD111337,2021-01-04T13:44:02,Alta Loma,Female,"$0 to $25,000",-1,California,92375
Pants,Anchorage Municipality,2020,Men,48.75120544,109,2021-01-05T13:44:07,2021-01-06T13:44:07,ZD111543,2021-01-04T13:44:07,Anchorage,Male,"$75,000 to $100,000",0,Alaska,99695
Wireless,Imperial,6025,Electronics,579.4200439,985,2021-01-05T13:44:14,2021-01-06T13:44:14,ZD111408,2021-01-04T13:44:14,Bard,Female,"$25,000 to $50,000",0,California,92232
Bracelets,Missoula,30063,Jewelry,695.3040161,968,2021-01-05T13:44:16,2021-01-06T13:44:16,ZD111425,2021-01-04T13:44:16,Missoula,Female,"$75,000 to $100,000",1,Montana,59823
Bracelets,Nevada,6057,Jewelry,1138.860107,2109,2021-01-05T13:44:25,2021-01-06T13:44:25,ZD111419,2021-01-04T13:44:25,Chicago Park,Male,"$0 to $25,000",-1,California,95975
Science,Los Angeles,6037,Books,3.996000051,5,2021-01-05T13:44:29,2021-01-06T13:44:29,ZD111250,2021-01-04T13:44:29,Los Angeles,Female,"$50,000 to $75,000",1,California,90294
Pants,Contra Costa County,6013,Men,69.53040314,103,2021-01-05T13:44:31,2021-01-06T13:44:31,ZD111547,2021-01-04T13:44:31,Discovery Bay,Male,"$25,000 to $50,000",1,California,94548
Fragrances,San Joaquin,6077,Women,53.54640198,79,2021-01-05T13:44:41,2021-01-06T13:44:41,ZD111590,2021-01-04T13:44:41,Stockton,Female,"$25,000 to $50,000",1,California,95206
Mystery,Los Angeles,6037,Books,13.58640099,18,2021-01-05T13:44:43,2021-01-06T13:44:43,ZD111209,2021-01-04T13:44:43,Los Angeles,Female,"$75,000 to $100,000",0,California,90745
Self-Help,Utah,49049,Books,5.594400406,10,2021-01-05T13:44:53,2021-01-06T13:44:53,ZD111254,2021-01-04T13:44:53,American Fork,Male,"$0 to $25,000",0,Utah,84045
Disk Drives,Los Angeles,6037,Electronics,141.4584045,208,2021-01-05T13:44:56,2021-01-06T13:44:56,ZD111320,2021-01-04T13:44:56,Los Angeles,Male,"$100,000 or more",1,California,91470
Cooking,Riverside,6065,Books,11.98799992,20,2021-01-05T13:44:57,2021-01-06T13:44:57,ZD111144,2021-01-04T13:44:57,Corona,Female,"$50,000 to $75,000",1,California,92282
Computers,Jefferson,8059,Books,8.791200638,15,2021-01-05T13:45:02,2021-01-06T13:45:02,ZD111136,2021-01-04T13:45:02,Arvada,Female,"$50,000 to $75,000",-1,Colorado,80425
Jewelry Boxes,Maui,15009,Jewelry,148.6512146,256,2021-01-05T13:45:03,2021-01-06T13:45:03,ZD111466,2021-01-04T13:45:03,Haiku,Female,"$25,000 to $50,000",-1,Hawaii,96790
Mens Watch,Pima,4019,Jewelry,1538.459961,2933,2021-01-05T13:45:12,2021-01-06T13:45:12,ZD111495,2021-01-04T13:45:12,Ajo,Male,"$50,000 to $75,000",0,Arizona,85743
Loose Stones,Orange,6059,Jewelry,1536.0625,2498,2021-01-05T13:45:15,2021-01-06T13:45:15,ZD111475,2021-01-04T13:45:15,Buena Park,Male,"$50,000 to $75,000",-1,California,92866
Diamonds,Maricopa,4013,Jewelry,983.8152466,1565,2021-01-05T13:45:25,2021-01-06T13:45:25,ZD111434,2021-01-04T13:45:25,Phoenix,Female,"$100,000 or more",1,Arizona,85025
Fragrances,Multnomah,41051,Women,72.72720337,119,2021-01-05T13:45:36,2021-01-06T13:45:36,ZD111585,2021-01-04T13:45:36,Bridal Veil,Male,"$25,000 to $50,000",1,Oregon,97220
Loose Stones,Graham,4009,Jewelry,1201.197632,1707,2021-01-05T13:45:39,2021-01-06T13:45:39,ZD111479,2021-01-04T13:45:39,Bylas,Male,"$25,000 to $50,000",-1,Arizona,85546
Wireless,Storey,32029,Electronics,597.0024414,884,2021-01-05T13:45:44,2021-01-06T13:45:44,ZD111414,2021-01-04T13:45:44,Virginia City,Female,"$75,000 to $100,000",-1,Nevada,89440
Audio,Sacramento,6067,Electronics,425.174408,644,2021-01-05T13:45:46,2021-01-06T13:45:46,ZD111291,2021-01-04T13:45:46,Sacramento,Male,"$50,000 to $75,000",0,California,95894
Dresses,Marion,41047,Women,58.34160614,97,2021-01-05T13:45:49,2021-01-06T13:45:49,ZD111578,2021-01-04T13:45:49,Aurora,Female,"$50,000 to $75,000",1,Oregon,97306
Gold,Los Angeles,6037,Jewelry,581.817627,837,2021-01-05T13:45:58,2021-01-06T13:45:58,ZD111460,2021-01-04T13:45:58,Los Angeles,Male,"$0 to $25,000",0,California,91103
Pendants,Larimer,8069,Jewelry,1034.964111,1604,2021-01-05T13:46:08,2021-01-06T13:46:08,ZD111504,2021-01-04T13:46:08,Estes Park,Male,"$0 to $25,000",0,Colorado,80523
Diamonds,Los Angeles,6037,Jewelry,1448.949707,1841,2021-01-05T13:46:10,2021-01-06T13:46:10,ZD111436,2021-01-04T13:46:10,Los Angeles,Male,"$25,000 to $50,000",1,California,90809
Bracelets,Los Angeles,6037,Jewelry,1488.110474,1919,2021-01-05T13:46:20,2021-01-06T13:46:20,ZD111427,2021-01-04T13:46:20,Los Angeles,Male,"$50,000 to $75,000",1,California,91050
Science,San Diego County,6073,Books,14.38560009,20,2021-01-05T13:46:21,2021-01-06T13:46:21,ZD111252,2021-01-04T13:46:21,Los Angeles,Male,"$25,000 to $50,000",0,California,91932
Jewelry Boxes,Maricopa,4013,Jewelry,148.6512146,232,2021-01-05T13:46:27,2021-01-06T13:46:27,ZD111466,2021-01-04T13:46:27,Phoenix,Male,"$75,000 to $100,000",0,Arizona,85289
Stereo,Fresno County,6019,Electronics,139.0608063,224,2021-01-05T13:46:34,2021-01-06T13:46:34,ZD111388,2021-01-04T13:46:34,Brea,Female,"$0 to $25,000",-1,California,93627
Diamonds,Washington,49053,Jewelry,837.5616455,1149,2021-01-05T13:46:35,2021-01-06T13:46:35,ZD111439,2021-01-04T13:46:35,Central,Female,"$0 to $25,000",0,Utah,84733
Romance,Clackamas,41005,Books,6.393600464,11,2021-01-05T13:46:36,2021-01-06T13:46:36,ZD111234,2021-01-04T13:46:36,Beavercreek,Female,"$0 to $25,000",1,Oregon,97015
Parenting,Fresno County,6019,Books,13.58640099,23,2021-01-05T13:46:38,2021-01-06T13:46:38,ZD111219,2021-01-04T13:46:38,Brea,Male,"$50,000 to $75,000",0,California,93760
Pants,Solano,6095,Men,69.53040314,108,2021-01-05T13:46:39,2021-01-06T13:46:39,ZD111549,2021-01-04T13:46:39,Benicia,Male,"$25,000 to $50,000",1,California,95687
Diamonds,Summit,49043,Jewelry,1408.989624,2439,2021-01-05T13:46:44,2021-01-06T13:46:44,ZD111431,2021-01-04T13:46:44,Coalville,Male,"$0 to $25,000",-1,Utah,84060
Memory,Clark,32003,Electronics,156.6432037,231,2021-01-05T13:46:45,2021-01-06T13:46:45,ZD111342,2021-01-04T13:46:45,The Lakes,Male,"$0 to $25,000",0,Nevada,89162
Self-Help,Kern,6029,Books,7.992000103,15,2021-01-05T13:46:48,2021-01-06T13:46:48,ZD111262,2021-01-04T13:46:48,Arvin,Female,"$50,000 to $75,000",1,California,93241
Fragrances,San Joaquin,6077,Women,56.74320221,73,2021-01-05T13:46:49,2021-01-06T13:46:49,ZD111592,2021-01-04T13:46:49,Stockton,Female,"$25,000 to $50,000",1,California,95296
Maternity,Denver,8031,Women,59.14080429,100,2021-01-05T13:46:56,2021-01-06T13:46:56,ZD111601,2021-01-04T13:46:56,Denver,Female,"$75,000 to $100,000",0,Colorado,80220
Business,Multnomah,41051,Books,9.590400696,18,2021-01-05T13:47:03,2021-01-06T13:47:03,ZD111132,2021-01-04T13:47:03,Bridal Veil,Female,"$75,000 to $100,000",-1,Oregon,97214
Disk Drives,Los Angeles,6037,Electronics,138.2616119,182,2021-01-05T13:47:04,2021-01-06T13:47:04,ZD111322,2021-01-04T13:47:04,Los Angeles,Female,"$100,000 or more",1,California,93599
Camcorders,Los Angeles,6037,Electronics,581.817627,813,2021-01-05T13:47:16,2021-01-06T13:47:16,ZD111298,2021-01-04T13:47:16,Los Angeles,Female,"$0 to $25,000",-1,California,91748
Bracelets,Weld,8123,Jewelry,1520.877686,1954,2021-01-05T13:47:18,2021-01-06T13:47:18,ZD111424,2021-01-04T13:47:18,Longmont,Male,"$25,000 to $50,000",1,Colorado,80650
Arts,Santa Clara,6085,Books,4.795200348,7,2021-01-05T13:47:22,2021-01-06T13:47:22,ZD111114,2021-01-04T13:47:22,Los Altos,Female,"$50,000 to $75,000",0,California,95054
Maternity,Washington,41067,Women,60.73920441,87,2021-01-05T13:47:25,2021-01-06T13:47:25,ZD111605,2021-01-04T13:47:25,Beaverton,Male,"$25,000 to $50,000",1,Oregon,97133
Business,Washoe,32031,Books,15.1848011,20,2021-01-05T13:47:34,2021-01-06T13:47:34,ZD111123,2021-01-04T13:47:34,Crystal Bay,Male,"$0 to $25,000",1,Nevada,89520
Sports,Maricopa,4013,Books,7.992000103,13,2021-01-05T13:47:37,2021-01-06T13:47:37,ZD111269,2021-01-04T13:47:37,Phoenix,Female,"$100,000 or more",1,Arizona,85338
Audio,Orange,6059,Electronics,433.1664124,582,2021-01-05T13:47:39,2021-01-06T13:47:39,ZD111287,2021-01-04T13:47:39,Buena Park,Female,"$75,000 to $100,000",1,California,92650
Fragrances,Santa Clara,6085,Women,47.15280151,63,2021-01-05T13:47:44,2021-01-06T13:47:44,ZD111588,2021-01-04T13:47:44,Los Altos,Female,"$25,000 to $50,000",1,California,95051
Loose Stones,Cochise,4003,Jewelry,1074.924072,2102,2021-01-05T13:47:47,2021-01-06T13:47:47,ZD111482,2021-01-04T13:47:47,Benson,Male,"$25,000 to $50,000",0,Arizona,85616
Mens Watch,Orange,6059,Jewelry,111.0888062,156,2021-01-05T13:47:54,2021-01-06T13:47:54,ZD111490,2021-01-04T13:47:54,Buena Park,Male,"$75,000 to $100,000",1,California,92662
Business,Los Angeles,6037,Books,11.98799992,16,2021-01-05T13:47:58,2021-01-06T13:47:58,ZD111127,2021-01-04T13:47:58,Los Angeles,Male,"$50,000 to $75,000",-1,California,91416
Gold,Deschutes,41017,Jewelry,1287.51123,1949,2021-01-05T13:47:59,2021-01-06T13:47:59,ZD111457,2021-01-04T13:47:59,Bend,Male,"$25,000 to $50,000",0,Oregon,97702
Fiction,Sonoma,6097,Books,8.791200638,14,2021-01-05T13:48:08,2021-01-06T13:48:08,ZD111170,2021-01-04T13:48:08,Bodega,Female,"$50,000 to $75,000",0,California,95409
Mystery,Los Angeles,6037,Books,12.78720093,19,2021-01-05T13:48:11,2021-01-06T13:48:11,ZD111206,2021-01-04T13:48:11,Los Angeles,Female,"$0 to $25,000",0,California,93536
Cooking,Contra Costa County,6013,Books,4.795200348,7,2021-01-05T13:48:20,2021-01-06T13:48:20,ZD111146,2021-01-04T13:48:20,Discovery Bay,Female,"$50,000 to $75,000",-1,California,94516
Sports,Los Angeles,6037,Books,9.590400696,12,2021-01-05T13:48:22,2021-01-06T13:48:22,ZD111271,2021-01-04T13:48:22,Los Angeles,Male,"$25,000 to $50,000",0,California,91009
Maternity,San Bernardino,6071,Women,49.55039978,81,2021-01-05T13:48:23,2021-01-06T13:48:23,ZD111602,2021-01-04T13:48:23,Alta Loma,Male,"$0 to $25,000",0,California,92404
Parenting,Humboldt,6023,Books,11.18880081,14,2021-01-05T13:48:32,2021-01-06T13:48:32,ZD111216,2021-01-04T13:48:32,Eureka,Male,"$0 to $25,000",1,California,95547
Scanners,Washoe,32031,Electronics,93.50640869,143,2021-01-05T13:48:37,2021-01-06T13:48:37,ZD111380,2021-01-04T13:48:37,Crystal Bay,Male,"$75,000 to $100,000",0,Nevada,89503
Dvd/Vcr Players,Orange,6059,Electronics,152.6472168,224,2021-01-05T13:48:43,2021-01-06T13:48:43,ZD111336,2021-01-04T13:48:43,Buena Park,Female,"$50,000 to $75,000",1,California,92644
